DATAFLOW,FREQ,NBB_COICOP,INDEX_BASE,INDEX_TYPE,DERIVATION,REF_AREA,ADJUSTMENT,INSTITUTION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT_MEASURE,UNIT_MULT,EMBARGO_TIME,DECIMALS
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-07,129.32,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-08,130.75,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-09,131.6,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-10,128.66,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-11,130.62,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-12,128.76,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-01,128.95,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-02,133.39,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-03,132.21,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-04,133.92,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-05,136.3,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-06,131.04,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-07,131.94,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-08,134.79,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-09,138.48,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-10,132.94,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-11,136.97,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-12,133.96,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-01,133.67,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-02,138.04,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-03,136.2,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-04,137.97,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-05,140.97,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-06,138.95,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-07,138.21,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-08,142.17,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-09,148.04,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-10,141.14,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-11,147.45,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2022-12,144.31,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-01,105.13,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-02,104.59,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-03,104.67,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-04,104.54,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-05,104.57,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-06,104.64,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-07,104.55,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-08,104.69,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-09,104.98,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-10,105.03,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-11,105.03,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2020-12,104.69,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-01,104.69,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-02,104.69,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-03,104.92,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-04,104.96,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-05,105.05,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-06,105.05,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-07,105.06,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-08,104.99,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-09,105.21,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-10,105.33,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-11,105.45,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2021-12,105.54,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-01,105.54,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-02,105.96,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-03,106.11,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-04,104.96,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-05,104.36,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-06,103.64,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-07,103.66,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-08,105.07,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-09,108.38,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-10,109.98,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-11,112.01,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,3,2013,NCP,INDICES,BE,_Z,BE1,2022-12,112.82,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-01,109.28,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-02,108.62,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-03,108.4,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-04,107.45,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-05,107.03,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-06,107.02,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-07,106.52,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-08,106.57,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-09,106.53,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-10,107.53,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-11,107.38,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,4,2013,NCP,INDICES,BE,_Z,BE1,2020-12,107.37,A,F,IX,0,,2
