ISIN,TimePeriod,LastRate
IL0002300114,2024-02-04,483.1
IL0023001766,2024-02-04,99.63
IL0023001840,2024-02-04,112.72
IL0023002343,2024-02-04,95.34
IL0023002426,2024-02-04,107.83
IL0023003093,2024-02-04,81.73
IL0023003176,2024-02-04,88.99
IL0010972607,2024-02-04,36770.0
IL0011360844,2024-02-04,112.2
IL0011511172,2024-02-04,109.84
IL0011562316,2024-02-04,115.09
IL0011615122,2024-02-04,106.77
IL0011622219,2024-02-04,100.0
IL0011684425,2024-02-04,104.3
IL0011684599,2024-02-04,104.37
IL0011410508,2024-02-04,112.06
IL0011595167,2024-02-04,103.39
IL0011810079,2024-02-04,87.46
IL0011742264,2024-02-04,102.28
IL0011861882,2024-02-04,99.07
IL0012022179,2024-02-04,99.38
IL0011389249,2024-02-04,111.42
IL0011722951,2024-02-04,170.7
IL0011726184,2024-02-04,222.5
IL0010960495,2024-02-04,29.7
IL0010952237,2024-02-04,539.1
IL0011015182,2024-02-04,29.3
IL0011739054,2024-02-04,50.2
IL0011875908,2024-02-04,21.1
IL0012013756,2024-02-04,16.9
IL0005300145,2024-02-04,1076.0
IL0011705139,2024-02-04,151.8
IL0011720971,2024-02-04,616.2
IL0004240102,2024-02-04,509.8
IL0010985658,2024-02-04,23000.0
IL0011406159,2024-02-04,112.01
IL0011575698,2024-02-04,109.34
IL0011745564,2024-02-04,94.6
IL0011406076,2024-02-04,112.74
IL0053102559,2024-02-04,99.82
IL0053102716,2024-02-04,97.03
IL0053103052,2024-02-04,93.38
IL0011988297,2024-02-04,104.19
IL0005310128,2024-02-04,2892.0
IL0004850116,2024-02-04,20.0
NL0009690619,2024-02-04,19840.0
IL0011283475,2024-02-04,114.67
IL0011330409,2024-02-04,109.84
IL0011007189,2024-02-04,1075.0
IL0010945157,2024-02-04,146.4
IL0028602378,2024-02-04,100.5
IL0005360115,2024-02-04,253.6
IL0011928632,2024-02-04,101.48
IL0011928558,2024-02-04,26.6
IL0003990145,2024-02-04,841.3
IL0010942832,2024-02-04,1196.0
IL0011051393,2024-02-04,28.1
IL0011790438,2024-02-04,1384.0
IL0011805954,2024-02-04,719.5
IL0011870610,2024-02-04,44.7
IL0011838625,2024-02-04,45.2
IL0011766354,2024-02-04,13.5
IL0004420126,2024-02-04,1466.0
IL0010952641,2024-02-04,29630.0
IL0010944739,2024-02-04,2.6
IL0001060131,2024-02-04,367.8
IL0011769085,2024-02-04,468.3
IL0011769242,2024-02-04,104.9
IL0001110134,2024-02-04,65.0
IL0010960073,2024-02-04,192.8
IL0010971468,2024-02-04,56.9
IL0011364648,2024-02-04,98.6
IL0011395915,2024-02-04,99.95
IL0011418295,2024-02-04,95.66
IL0011735664,2024-02-04,94.04
IL0012027798,2024-02-04,100.04
IL0011238503,2024-02-04,1551.0
IL0011900086,2024-02-04,99.65
IL0011879629,2024-02-04,2425.0
IL0011476855,2024-02-04,2062.0
IL0004400169,2024-02-04,1059.0
IL0002800162,2024-02-04,4693.0
IL0011328288,2024-02-04,111.25
IL0011328361,2024-02-04,99.77
IL0011392458,2024-02-04,114.0
IL0011392524,2024-02-04,98.34
IL0011430803,2024-02-04,94.93
IL0011891905,2024-02-04,99.33
IL0011015349,2024-02-04,1450.0
IL0011559510,2024-02-04,88.3
US17259U2042,2024-02-04,3539.0
IL0011940181,2024-02-04,107.0
IL0011819328,2024-02-04,54.0
IL0011820052,2024-02-04,12.9
IL0007160356,2024-02-04,101300.0
IL0007160190,2024-02-04,35260.0
IL0011981755,2024-02-04,107.3
IL0011403008,2024-02-04,1234.0
IL0011360505,2024-02-04,112.15
IL0011042806,2024-02-04,37.0
IL0011360687,2024-02-04,99.66
IL0011606477,2024-02-04,88.62
IL0011799280,2024-02-04,82.26
IL0011979205,2024-02-04,98.11
IL0011934812,2024-02-04,104.85
IL0012013913,2024-02-04,101.76
IL0011934994,2024-02-04,99.3
IL0002240146,2024-02-04,5780.0
IL0003890154,2024-02-04,311.2
IL0008100104,2024-02-04,11370.0
IL0010852080,2024-02-04,823.5
IL0005070128,2024-02-04,25250.0
IL0011822603,2024-02-04,61.6
IL0011822785,2024-02-04,1.0
IL0011401770,2024-02-04,100.48
US1255255846,2024-02-04,1322.0
IL0011849515,2024-02-04,105.96
IL0011935983,2024-02-04,101.68
IL0008220159,2024-02-04,2190.0
IL0003140139,2024-02-04,32200.0
IL0011731374,2024-02-04,8860.0
IL0008290103,2024-02-04,2070.0
IL0010841281,2024-02-04,45190.0
IL0011809832,2024-02-04,16970.0
IL0011811226,2024-02-04,102.4
IL0011928897,2024-02-04,104.46
IL0011995045,2024-02-04,106.97
IL0011961799,2024-02-04,105.29
IL0011736993,2024-02-04,4346.0
IL0006270347,2024-02-04,16710.0
IL0062701441,2024-02-04,103.47
IL0062701938,2024-02-04,99.09
IL0010903156,2024-02-04,26000.0
IL0011411910,2024-02-04,98.91
IL0011537250,2024-02-04,99.66
IL0011683682,2024-02-04,94.46
IL0011861627,2024-02-04,95.38
IL0012028374,2024-02-04,814.8
IL0011734915,2024-02-04,3263.0
IL0011712143,2024-02-04,111.72
IL0011756603,2024-02-04,109.02
IL0011828311,2024-02-04,98.23
IL0011916595,2024-02-04,105.28
IL0011681868,2024-02-04,49400.0
IL0074801551,2024-02-04,98.41
IL0074801635,2024-02-04,94.95
IL0074803045,2024-02-04,100.86
IL0012031576,2024-02-04,99.91
IL0012031659,2024-02-04,1004.6
IL0011912461,2024-02-04,105.25
IL0006912120,2024-02-04,1760.0
IL0063903483,2024-02-04,98.47
IL0063904051,2024-02-04,91.94
IL0006390137,2024-02-04,408.0
IL0063902071,2024-02-04,137.05
IL0074801973,2024-02-04,109.01
IL0074802476,2024-02-04,112.41
IL0074803128,2024-02-04,98.94
IL0011775181,2024-02-04,144.8
IL0011038523,2024-02-04,69.0
IL0010932023,2024-02-04,7071.0
IL0011406563,2024-02-04,98.98
IL0011577009,2024-02-04,98.12
IL0011751992,2024-02-04,98.71
IL0011667685,2024-02-04,798.8
IL0011791345,2024-02-04,100.74
IL0011394272,2024-02-04,98.27
IL0011781288,2024-02-04,91.21
IL0011906281,2024-02-04,1080.0
IL0004000100,2024-02-04,18800.0
IL0011987042,2024-02-04,96.55
IL0003820102,2024-02-04,852.2
IL0011783342,2024-02-04,1660.0
IL0011825184,2024-02-04,88.6
IL0011698953,2024-02-04,172.2
IL0011813040,2024-02-04,98.99
IL0011884082,2024-02-04,99.21
IL0011997447,2024-02-04,104.67
IL0010878242,2024-02-04,395.8
IL0011726838,2024-02-04,32.7
IL0011655888,2024-02-04,0.0
IL0010811169,2024-02-04,395.0
IL0004740150,2024-02-04,34.0
IL0011782351,2024-02-04,91.8
IL0011782500,2024-02-04,105.39
IL0011782682,2024-02-04,100.4
IL0010811243,2024-02-04,75800.0
IL0006940345,2024-02-04,10830.0
IL0069402332,2024-02-04,93.44
IL0011553570,2024-02-04,112.16
IL0011616781,2024-02-04,95.7
IL0011847790,2024-02-04,102.19
IL0011924425,2024-02-04,103.98
IL0011924599,2024-02-04,101.42
IL0010836588,2024-02-04,200.0
IL0007390375,2024-02-04,135000.0
IL0073901493,2024-02-04,99.41
IL0073902228,2024-02-04,97.44
IL0073902632,2024-02-04,84.3
IL0050101299,2024-02-04,7502.0
IL0050103352,2024-02-04,90.78
IL0011673600,2024-02-04,89.06
IL0011819245,2024-02-04,86.03
IL0011669178,2024-02-04,2282.0
IL0011385932,2024-02-04,100.55
IL0011745648,2024-02-04,92.71
IL0012035536,2024-02-04,99.91
IL0010940448,2024-02-04,3650.0
IL0003680191,2024-02-04,8483.0
